Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"",9781455586691,hardcover,currently-reading,2025/01/31,"","",0,"",,,,,,,,,"",,"",No
A Game of Thrones,George R.R. Martin,"",9780553588484,paperback,read,2025/01/20,2025/02/23,2025/02/23,1,adventurous,medium,A mix,Yes,It's complicated,Yes,It's complicated,4.25,"","","","",No
Billy Summers,Stephen King,"",9781982173616,hardcover,to-read,2025/03/23,"","",0,"",,,,,,,,,"",,"",No
Dune ,Frank Herbert,Brian Herbert (Contributor),9780441013593,paperback,read,2021/08/22,2021/10/04,2021/10/04,1,"",,,,,,,4.0,,"",,"",No
The Hunger Games,Suzanne Collins,"",9780439023481,hardcover,read,2012/05/07,2012/05/08,2012/05/08,1,"",,,,,,,3.0,,"",,"",Yes
Mother Night,Kurt Vonnegut,"",9780385334143,paperback,to-read,2021/09/02,"","",0,"",,,,,,,,,"",,"",No
Gone Girl,Gillian Flynn,"",9780553418361,paperback,read,2021/07/26,2021/08/01,2021/08/01,1,"",,,,,,,4.0,,"",,"",No
Cloud Atlas,David Mitchell,"",9780375507250,paperback,read,2021/07/04,2025/06/15,2025/05/11-2025/06/15,1,"challenging, dark, reflective",medium,A mix,It's complicated,It's complicated,Yes,Yes,4.25,,"","","",No
Red Rising,Pierce Brown,"",9780345539786,hardcover,to-read,2021/07/19,"","",0,"",,,,,,,,,"",,"",No
American Gods,Neil Gaiman,"",9780060558123,paperback,to-read,2013/04/17,"","",0,"",,,,,,,,,"",,"",No
Dungeon Crawler Carl,Matt Dinniman,"","",digital,to-read,2025/11/20,"","",0,"",,,,,,,,,"",,"",No
The Rise and Fall of the Dinosaurs: A New History of a Lost World,Steve Brusatte,"",9780062490421,hardcover,to-read,2025/05/30,"","",0,"",,,,,,,,,"",,"",No
The River of Doubt: Theodore Roosevelt's Darkest Journey,Candice Millard,"",9780767913737,paperback,to-read,2021/09/22,"","",0,"",,,,,,,,,"",,"",No
A Visit from the Goon Squad,Jennifer Egan,"",9780307592835,hardcover,to-read,2025/06/21,"","",0,"",,,,,,,,,"",,"",No
Stardust,Neil Gaiman,"",9780061142024,paperback,to-read,2013/05/30,"","",0,"",,,,,,,,,"",,"",No
The Other Valley,Scott Alexander Howard,"",9781668015476,hardcover,read,2025/04/14,2025/05/08,2025/04/24-2025/05/08,1,"adventurous, emotional, mysterious",medium,A mix,Yes,It's complicated,No,Yes,3.75,,"","","",No
Piranèse,Susanna Clarke,Isabelle D. Philippe (Translator),9782221250242,paperback,to-read,2022/01/09,"","",0,"",,,,,,,,,"",,"",No
The Witness for the Prosecution,Agatha Christie,"",B005JSK238,digital,read,2022/03/27,2022/03/27,2022/03/27,1,"",,,,,,,4.0,,"",,"",No
Hyperion,Dan Simmons,"",9780553283686,paperback,to-read,2025/05/27,"","",0,"",,,,,,,,,"",,"",No
Switch: How to Change Things When Change Is Hard,"Chip Heath, Dan Heath","",9780385528757,hardcover,to-read,2024/10/09,"","",0,"",,,,,,,,,"",,"",No
A Feast for Crows,George R.R. Martin,"",9780553582024,paperback,to-read,2025/04/16,"","",0,"",,,,,,,,,"",,"",No
Fight Club,Chuck Palahniuk,"",9780393327342,paperback,read,2012/05/07,"","",1,"",,,,,,,4.0,,"",,"",No
Cutting for Stone,Abraham Verghese,"",9780375414497,hardcover,to-read,2025/04/03,"","",0,"",,,,,,,,,"",,"",No
The Fellowship of the Ring,J.R.R. Tolkien,"",9780547928210,paperback,read,2021/12/09,2022/01/03,2022/01/03,1,"",,,,,,,4.0,,"",,"",No
The Light Fantastic,"Terry Pratchett, Terry Pratchett","",9780061020702,paperback,read,2025/06/24,2025/07/04,2025/06/23-2025/07/04,1,"adventurous, funny, lighthearted",fast,A mix,No,Yes,Yes,Yes,3.75,"","","","",No
The Return of the King,J.R.R. Tolkien,"",9780547928197,paperback,read,2022/02/12,2022/03/26,2022/03/26,1,"",,,,,,,5.0,,"",,"",No
Of Monsters and Mainframes,Barbara Truelove,"",9781964721132,paperback,to-read,2025/07/02,"","",0,"",,,,,,,,,"",,"",No
Lincoln in the Bardo,George Saunders,"",9780812995343,hardcover,to-read,2025/04/16,"","",0,"",,,,,,,,,"",,"",No
The Book Thief,Markus Zusak,"",9780375842207,paperback,read,2023/07/20,2025/01/14,2025/01/14,1,"",,,,,,,4.0,,"",,"",No
A Tree Grows in Brooklyn,Betty Smith,"",9780061120077,paperback,to-read,2025/11/20,"","",0,"",,,,,,,,,"",,"",No
Prey,Michael Crichton,"",9780066214122,hardcover,read,2025/07/17,2025/07/26,2025/07/16-2025/07/26,1,"dark, tense",fast,Plot,It's complicated,No,No,No,3.5,"","","","",No
Slaughterhouse-Five,Kurt Vonnegut,"","",digital,read,2021/09/10,2022/06/07,2022/06/07,1,"",,,,,,,4.0,,"",,"",No
This is How You Lose the Time War,"Max Gladstone, Amal El-Mohtar","",9781529405231,paperback,to-read,2025/06/10,"","",0,"",,,,,,,,,"",,"",No
World War Z: An Oral History of the Zombie War,Max Brooks,"",9780307346605,hardcover,to-read,2021/08/22,"","",0,"",,,,,,,,,"",,"",No
Demon Copperhead,Barbara Kingsolver,"",9780063251922,hardcover,to-read,2023/12/02,"","",0,"",,,,,,,,,"",,"",No
East of Eden,John Steinbeck,"",9780142000656,paperback,to-read,2013/07/10,"","",0,"",,,,,,,,,"",,"",No
The Lovecraft Compendium,H.P. Lovecraft,"",,paperback,did-not-finish,2021/10/07,"","",0,"",,,,,,,,,"",,"",No
And Then There Were None,Agatha Christie,"",9780312330873,paperback,read,2021/07/16,2021/07/18,2021/07/18,1,"",,,,,,,4.0,,"",,"",Yes
The Fellowship of the Ring ,J.R.R. Tolkien,"",9780618346257,paperback,read,2012/05/07,2014/03/13,2014/03/13,1,"",,,,,,,4.0,,"",,"",Yes
Breakfast of Champions,Kurt Vonnegut,"",9780385334204,paperback,to-read,2021/09/02,"","",0,"",,,,,,,,,"",,"",No
A Clash of Kings,George R.R. Martin,"",9780553108033,hardcover,read,2025/02/23,2025/03/23,2025/02/23-2025/03/23,1,"adventurous, dark, emotional",medium,A mix,Yes,It's complicated,Yes,Yes,3.75,"","","","",No
The Color of Magic,Terry Pratchett,"",9780062225672,paperback,read,2025/06/17,2025/06/22,2025/06/16-2025/06/22,1,"adventurous, funny, lighthearted",fast,A mix,No,Yes,Yes,Yes,3.75,"","","","",No
How to Write One Song,Jeff Tweedy,"",9780593183526,hardcover,read,2023/07/03,"","",1,"",,,,,,,4.0,,"",,"",No
The Fifth Season,N.K. Jemisin,"",9780316229296,paperback,read,2025/07/26,2025/08/12,2025/07/26-2025/08/12,1,"adventurous, dark, mysterious",medium,A mix,Yes,It's complicated,Yes,Yes,3.75,,"","","",No
Equal Rites,Terry Pratchett,"",9780062225696,paperback,read,2025/08/14,2025/08/20,2025/08/13-2025/08/20,1,"adventurous, funny",medium,A mix,Yes,Yes,No,No,3.5,"","","","",No
Crying in H Mart,Michelle Zauner,"",9780525657743,hardcover,to-read,2025/01/31,"","",0,"",,,,,,,,,"",,"",No
Fall of Giants,Ken Follett,"",9780525951650,hardcover,to-read,2021/07/05,"","",0,"",,,,,,,,,"",,"",No
Red Rabbit,Alex Grecian,"",9781250874689,hardcover,currently-reading,2025/03/13,"","",0,"",,,,,,,,,"",,"",No
Life of Pi,Yann Martel,"",9780770430078,paperback,read,2012/12/03,2013/01/06,2013/01/06,1,"",,,,,,,3.0,,"",,"",Yes
Catch-22,Joseph Heller,"",9780684833392,paperback,to-read,2025/11/20,"","",0,"",,,,,,,,,"",,"",No
In the Heart of the Sea: The Tragedy of the Whaleship Essex,Nathaniel Philbrick,"",9780141001821,paperback,to-read,2025/12/09,"","",0,"",,,,,,,,,"",,"",No
The Lies of Locke Lamora,Scott Lynch,Michael Page (Narrator),9781400160518,audio,to-read,2021/07/04,"","",0,"",,,,,,,,,"",,"",No
Born in the U.S.A.,Geoffrey Himes,"",9780826416612,paperback,read,2022/12/06,2023/02/19,2023/02/19,1,"",,,,,,,3.0,,"",,"",No
The Martian,Andy Weir,"",9780804139021,hardcover,to-read,2021/07/14,"","",0,"",,,,,,,,,"",,"",No
The Final Empire,Brandon Sanderson,"",9780765311788,hardcover,to-read,2021/07/18,"","",0,"",,,,,,,,,"",,"",No
The Murder of Roger Ackroyd,Agatha Christie,"",9781579126278,hardcover,read,2021/07/09,2021/07/11,2021/07/11,1,"",,,,,,,3.0,,"",,"",Yes
The Authentic History of Cincinnati Chili,Dann Woellert,"",9781609499921,paperback,to-read,2021/07/29,"","",0,"",,,,,,,,,"",,"",No
All the Pretty Horses,Cormac McCarthy,"",9780679744399,paperback,read,2025/08/12,2025/12/07,2025/11/25-2025/12/07,1,"adventurous, emotional, sad",slow,A mix,Yes,Yes,Yes,Yes,4.0,"","","","",No
Fahrenheit-182: A Memoir,Mark Hoppus,Dan Ozzi,9780063318915,hardcover,to-read,2025/04/13,"","",0,"",,,,,,,,,"",,"",No
Wool,Hugh Howey,"",B0071XO8RA,digital,read,2012/12/03,2012/12/03,2012/12/03,1,"",,,,,,,4.0,,"",,"",No
The Shining,Stephen King,"",0451139763,paperback,read,2023/07/03,2023/07/15,2023/07/15,1,"",,,,,,,5.0,,"",,"",No
Remarkably Bright Creatures,Shelby Van Pelt,"",9780063204157,hardcover,to-read,2025/03/24,"","",0,"",,,,,,,,,"",,"",No
Stoner,John Williams,John McGahern (Contributor),0099561549,paperback,read,2025/07/04,2025/07/15,2025/07/04-2025/07/15,1,"emotional, reflective, sad",medium,A mix,It's complicated,It's complicated,No,Yes,4.5,,"","","",No
The Count of Monte Cristo,Alexandre Dumas,Robin Buss (Translator),9780140449266,paperback,to-read,2013/07/10,"","",0,"",,,,,,,,,"",,"",No
Project Hail Mary,Andy Weir,"",9780593135204,hardcover,read,2021/07/01,2021/08/18,2021/08/18,1,"",,,,,,,4.0,,"",,"",No
Permanent Record,Edward Snowden,"",9781250237231,hardcover,to-read,2021/07/01,"","",0,"",,,,,,,,,"",,"",No
11/22/63,Stephen King,"",9781451627282,hardcover,read,2021/07/20,2022/10/19,2022/10/19,1,"",,,,,,,5.0,,"",,"",No
"I, Claudius",Robert Graves,"",9780679724773,paperback,to-read,2025/11/20,"","",0,"",,,,,,,,,"",,"",No
Getting Naked: A Business Fable about Shedding the Three Fears That Sabotage Client Loyalty,Patrick Lencioni,"",9780470597606,digital,read,2024/11/25,"","",1,"",,,,,,,3.0,,"",,"",No
Lonesome Dove,Larry McMurtry,"",9780671683900,paperback,to-read,2025/04/30,"","",0,"",,,,,,,,,"",,"",No
"The Hobbit, or There and Back Again",J.R.R. Tolkien,"",B0DLSV8W42,digital,read,2013/06/10,"","",1,"",,,,,,,5.0,,"",,"",No
So Good They Can't Ignore You: Why Skills Trump Passion in the Quest for Work You Love,Cal Newport,"",9781455509102,digital,to-read,2024/09/06,"","",0,"",,,,,,,,,"",,"",No
Mort,Terry Pratchett,"",9780062225719,paperback,read,2025/11/09,2025/11/24,2025/11/09-2025/11/24,1,"adventurous, funny",medium,A mix,Yes,Yes,Yes,Yes,3.75,,"","","",No
Recursion,Blake Crouch,"",9781524759780,hardcover,to-read,2021/07/10,"","",0,"",,,,,,,,,"",,"",No
Death on the Nile,Agatha Christie,"","",paperback,read,2022/03/28,2022/04/11,2022/04/11,1,"",,,,,,,3.0,,"",,"",No
The National's Boxer,Ryan Pinkard,"",9781501378010,paperback,read,2022/04/18,2022/04/22,2022/04/22,1,"",,,,,,,4.0,,"",,"",No
The Restaurant at the End of the Universe,Douglas Adams,Chris Riddell (Illustrator),9781529099133,paperback,read,2021/07/05,2021/07/08,2021/07/08,1,"",,,,,,,3.0,,"",,"",No
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,"",9780544272996,hardcover,to-read,2022/11/30,"","",0,"",,,,,,,,,"",,"",No
Matterhorn,Karl Marlantes,"",9780979528538,paperback,to-read,2023/11/20,"","",0,"",,,,,,,,,"",,"",No
Colony One Mars,Gerald M. Kilby,"","",digital,to-read,2024/09/08,"","",0,"",,,,,,,,,"",,"",No
Angels and Demons,Dan Brown,"",9780552150736,paperback,read,2021/06/24,2021/07/04,2021/07/04,1,"",,,,,,,3.0,,"",,"",No
The Suburbs,Eric Eidelstein,"",9781501336461,paperback,read,2022/11/30,2022/12/05,2022/12/05,1,"",,,,,,,2.0,,"",,"",No
The Sirens of Titan,Kurt Vonnegut,"",9780795311994,digital,to-read,2021/07/25,"","",0,"",,,,,,,,,"",,"",No
AI Engineering,Chip Huyen,"",9781098166298,digital,currently-reading,2025/02/05,"","",0,"",,,,,,,,,"",,"",No
The Giver,Lois Lowry,"",9780385732550,paperback,read,2021/07/12,2021/07/16,2021/07/16,1,"",,,,,,,4.0,,"",,"",Yes
The Killer Angels,Michael Shaara,"",9780345348104,paperback,to-read,2025/11/20,"","",0,"",,,,,,,,,"",,"",No
The Midnight Library,Matt Haig,"",9780525559474,hardcover,read,2021/06/20,2021/06/21,2021/06/21,1,"",,,,,,,3.0,,"",,"",No
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,"",9780609608449,hardcover,to-read,2025/12/09,"","",0,"",,,,,,,,,"",,"",No
The Brothers Karamazov,Fyodor Dostoevsky,"Richard Pevear (Translator), Larissa Volokhonsky (Translator)",9780374528379,paperback,to-read,2014/06/12,"","",0,"",,,,,,,,,"",,"",No
Dark Matter,Blake Crouch,"",9781101904220,hardcover,read,2023/07/15,2023/07/19,2023/07/19,1,"",,,,,,,4.0,,"",,"",No
The Kite Runner,Khaled Hosseini,"",9781594480003,paperback,read,2022/04/24,2022/05/30,2022/05/30,1,"",,,,,,,4.0,,"",,"",No
The Tainted Cup,Robert Jackson Bennett,"",9781984820709,hardcover,to-read,2025/03/28,"","",0,"",,,,,,,,,"",,"",No
The Hitchhiker's Guide to the Galaxy,Douglas Adams,"",9780330491198,paperback,read,2021/06/22,2021/06/23,2021/06/23,1,"",,,,,,,4.0,,"",,"",Yes
Butcher's Crossing,John Williams,Michelle Latiolais (Contributor),9781590171981,paperback,to-read,2025/08/12,"","",0,"",,,,,,,,,"",,"",No
The Name of the Wind,Patrick Rothfuss,"",9780756404079,hardcover,to-read,2025/06/25,"","",0,"",,,,,,,,,"",,"",No
The Da Vinci Code,Dan Brown,"",9780307474278,paperback,read,2021/10/20,2021/12/02,2021/12/02,1,"",,,,,,,4.0,,"",,"",No
A Dance with Dragons,George R.R. Martin,"",9780553801477,hardcover,to-read,2025/04/16,"","",0,"",,,,,,,,,"",,"",No
The Two Towers,J.R.R. Tolkien,"",9780547928203,paperback,read,2022/02/10,2022/02/10,2022/02/10,1,"",,,,,,,4.0,,"",,"",No
Shōgun,James Clavell,"",9781982603847,paperback,to-read,2025/11/20,"","",0,"",,,,,,,,,"",,"",No
The Art of Gathering: How We Meet and Why It Matters,Priya Parker,"",9781594634925,hardcover,to-read,2021/07/26,"","",0,"",,,,,,,,,"",,"",No
The Pillars of the Earth,Ken Follett,"",9780451166890,paperback,read,2025/08/22,2025/11/08,2025/08/21-2025/11/08,1,"dark, tense",medium,A mix,Yes,It's complicated,Yes,Yes,4.0,,"","","",No
Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,"",9781416549833,digital,to-read,2024/10/09,"","",0,"",,,,,,,,,"",,"",No
Fear and Loathing in Las Vegas,Hunter S. Thompson,Ralph Steadman (Illustrator),9780679785897,paperback,read,2013/04/14,"","",1,"",,,,,,,4.0,,"",,"",No
Mutiny on the Bounty,John Boyne,"",9780385666350,hardcover,to-read,2021/10/08,"","",0,"",,,,,,,,,"",,"",No
A Storm of Swords,George R.R. Martin,"",9780553573428,paperback,read,2025/03/24,2025/04/22,2025/03/23-2025/04/22,1,"adventurous, dark, emotional",medium,A mix,Yes,It's complicated,Yes,Yes,4.5,"","","","",No
Wool,Hugh Howey,"",9781620510902,digital,"","","","","","","","","","","","","","","","","",Yes
The Restaurant at the End of the Universe,Douglas Adams,"",9780330262132,paperback,"","","","","","","","","","","","","","","","","",Yes
Gone Girl,Gillian Flynn,"",9780385347778,paperback,"","","","","","","","","","","","","","","","","",Yes
